previous_state,next_state
1867252,32897
1867252,49152
1867252,180225
1867252,49280
1867252,180872
1867252,40960
1867252,41088
1867252,172161
1867252,188416
1867252,188544
1867252,65536
1867252,65537
1867252,65664
1867252,65665
1867252,81920
1867252,212993
1867252,82048
1867252,213640
1867252,73728
1867252,73856
1867252,221184
1867252,98304
1867252,98432
1867252,245760
1867252,237696
1867252,254708
1867252,1851392
1867252,2089716
1867253,0
1867253,1
1867253,128
1867253,129
1867253,16384
1867253,16385
1867253,16386
1867253,16512
1867253,16513
1867253,648
1867253,147976
1867253,17032
1867253,148105
1867253,8192
1867253,8193
1867253,8320
1867253,8321
1867253,24576
1867253,155649
1867253,24704
