previous_state,new_state
65665,73856
65665,8192
65665,81920
65665,8193
65665,82048
65665,8320
65665,8321
73728,0
73728,1
73728,128
73728,129
73728,16384
73728,16512
73728,172161
73728,180225
73728,1851392
73728,188416
73728,188544
73728,237696
73728,245760
73728,32768
73728,32769
73728,32896
73728,32897
73728,40960
73728,41088
73728,49152
73728,49280
73728,648
73728,65536
73728,65537
73728,65664
73728,73728
73728,73856
73728,8192
73728,81920
73728,8193
73728,82048
73728,8320
73728,8321
73728,98304
73728,98432
73856,0
73856,1
73856,128
73856,129
73856,147976
73856,16384
73856,16385
73856,16512
73856,16513
73856,180225
73856,1851392
73856,188416
73856,188544
73856,2089716
73856,212993
73856,221184
73856,237696
73856,24576
73856,245760
73856,24704
73856,254708
73856,32768
73856,32769
